year,make,model,price,mileage
2019,Hyundai,Kona SE,16989,16413
2017,Honda,CR-V EX,22750,23850
2018,GMC,Acadia SLE-1,21999,17909
2018,Chevrolet,Bolt EV Premier,26777,20148
2017,Buick,Encore Preferred,15950,23894
2017,Genesis,G80 3.8L,27580,34167
2018,Hyundai,Santa Fe Sport 2.4L,23700,18888
2019,GMC,Acadia SLE-2,23980,22238
2019,Buick,Regal TourX Essence,25520,12571
2018,GMC,Acadia SLT-1,25190,39933
2019,Buick,LaCrosse Essence,22500,16117
2019,GMC,Acadia SLT-1,29850,9608
2019,Ford,Flex Limited,23000,27000
2018,Jeep,Compass Limited,19995,20499
2018,Subaru,Crosstrek 2.0i Premium,23725,12943
2017,Hyundai,Santa Fe Sport 2.4L,17490,17990
2019,Hyundai,Santa Fe SE 2.4,18999,35684
2017,Honda,Pilot EX,28393,833
2017,Hyundai,Elantra Limited,15190,13907
2018,Chevrolet,Equinox Premier,22520,10149
2019,Volkswagen,Passat 2.0T Wolfsburg Edition,19550,16539
2018,Buick,Encore Preferred,17440,23533
2017,Genesis,G80 3.8L,27580,34167
2017,Genesis,G80 3.8L,29970,25232
2017,Chrysler,300 S,23000,18493
2018,Nissan,Murano Platinum,29360,26508
2018,GMC,Terrain SLE,19780,20540
2018,Chevrolet,Equinox 1LT,21760,28626
2017,Cadillac,XT5 Luxury FWD,29070,16191
2019,Buick,Regal TourX Essence,24020,20404
2019,Ford,Flex Limited,23000,27000
2019,Hyundai,Sonata Sport,21750,2512
2018,Chevrolet,Equinox Premier,22520,10149
2019,Nissan,Altima 2.5 Platinum,26690,5775
2019,Dodge,Durango GT Plus,29360,14163
2017,Cadillac,XT5 Luxury FWD,27190,27223
2019,Dodge,Charger GT,24793,28795
2019,GMC,Acadia SLT-1,26984,20928
2019,Chevrolet,Equinox Premier w/1LZ,26990,27490
2018,Ford,Focus SEL,13950,15281
2019,GMC,Acadia SLE-1,24990,3913
2018,Nissan,Leaf SV,19800,15462
2017,Chevrolet,Bolt EV LT,22300,34681
2018,Buick,Regal Sportback Essence,22600,18785
2018,Nissan,Rogue SV,19000,27104
2018,Chrysler,300 Limited,19350,26397
2019,Volkswagen,Passat 2.0T Wolfsburg Edition,19550,16539
2018,Kia,Sportage SX Turbo,21030,31684
2018,Chevrolet,Equinox 1LT,21760,28626
2018,Chevrolet,Equinox 1LT,15190,31838
2017,Chevrolet,Volt Premier,18920,27753
2018,Mazda,Mazda6 Touring,19942,20482
2019,Hyundai,Kona SE,17999,24529
2018,Chevrolet,Cruze LT,12800,18178
2017,Ford,Fusion Energi SE Luxury,15997,16506
2017,GMC,Acadia SLE-1,18796,35909
2019,Buick,Encore Preferred,16999,19443
2018,Nissan,Rogue S,14395,37296
2018,Chevrolet,Equinox 1LT,14990,32457
2018,Volkswagen,Atlas 3.6L SE,26995,18938
2018,Mazda,Mazda6 Touring,20395,34396
2019,Chevrolet,Equinox LS,20880,3215
2018,Hyundai,Elantra GT Sport,18060,2426
2019,Mazda,Mazda3 FWD w/Select Package,20000,5103
2018,Mitsubishi,Outlander Sport SE,13967,14953
2017,Honda,Civic EX,16499,29665
2019,GMC,Acadia SLE-1,26724,27800
2018,Buick,Regal TourX Essence,26991,22125
2017,Hyundai,Sonata Limited,18900,19400
2017,Kia,Sportage EX,19700,28837
2018,Cadillac,XT5 Premium Luxury,27900,28500
2019,GMC,Terrain SLT,23820,13125
2019,Hyundai,Santa Fe XL SE,26800,1943
2019,Cadillac,XTS Luxury,27790,28969
2019,GMC,Acadia SLT-1,26510,27050
2019,Subaru,Outback 2.5i,25300,7656
2019,Lincoln,MKC Standard,25999,28075
2018,Buick,Encore Preferred,17440,23533
2019,Volkswagen,Atlas 3.6L V6 SE,29480,20337
2018,Acura,RDX FWD w/Technology Package,29090,29680
2017,Kia,Sorento SX V6,27960,17789
2017,Cadillac,XT5 Luxury FWD,28390,20620
2019,Volkswagen,Passat 2.0T Wolfsburg Edition,19550,16539
2018,Chevrolet,Equinox 1LT,21760,28626
2019,Jeep,Compass Latitude,20270,10712
2019,GMC,Terrain SLT,23260,15926
2017,Hyundai,Sonata Sport,17230,29610
2018,Dodge,Durango GT,28210,9310
2019,Dodge,Charger GT,25543,12572
2019,Hyundai,Sonata SE,16936,19202
2018,Chrysler,300 S,19190,37231
2018,Ford,Taurus Limited,17590,30283
2019,Hyundai,Santa Fe XL SE,26800,1943
2018,Ford,EcoSport SE,13999,30099
2019,Chevrolet,Equinox 1LT,24643,3053
2018,Chevrolet,Equinox 1LT,20310,9495
2017,Cadillac,XT5 FWD,29995,21336
2018,Hyundai,Santa Fe SE,23600,6410
2019,Chevrolet,Impala 1LT,20311,21388
2019,GMC,Acadia SLE-2,24489,16230
2018,Hyundai,Sonata SE,13777,35844
2018,Jeep,Grand Cherokee Altitude,28999,30702
2017,Chevrolet,Cruze LT,13944,14895
2017,Cadillac,XT5 Luxury FWD,29070,16191
2019,Chevrolet,Equinox Premier,21980,19542
2018,Buick,Encore Preferred,17440,23533
2018,GMC,Terrain SLT,22500,27222
2019,GMC,Acadia SLT-1,26510,27050
2017,Cadillac,XT5 Luxury FWD,28390,20620
2019,Dodge,Durango GT Plus,29980,14762
2019,Cadillac,XTS Luxury,25850,33605
2019,GMC,Acadia SLT-1,26710,27250
2018,Nissan,Murano Platinum,29360,26508
2019,GMC,Acadia SLT-1,27810,17431
2019,Kia,Soul +,17625,8601
2017,Chevrolet,Trax LT,13200,39658
2018,Nissan,Maxima 3.5 SV,18499,38525
2018,Dodge,Charger R/T,23490,32200
2018,Hyundai,Santa Fe Sport 2.4L,23700,18888
2018,GMC,Acadia SLT-1,26730,30966
2019,GMC,Terrain SLE,22640,15254
2019,Jeep,Compass Latitude,20270,10712
2018,Chevrolet,Equinox 1LT,18980,20135
2017,Cadillac,XT5 Luxury FWD,28490,29070
2018,Hyundai,Kona Ultimate,24690,3197
2017,Hyundai,Sonata Limited,19180,28399
2018,Honda,Civic EX-T,19780,17832
2018,Nissan,Murano SL,25340,33803
2018,Hyundai,Santa Fe Sport 2.4L,23700,18888
2018,GMC,Acadia SLT-1,25190,39933
2017,Cadillac,XT5 Premium Luxury FWD,29650,19084
2018,Nissan,Murano SL,25340,33803
2019,Subaru,Crosstrek 2.0i Premium,25890,26900
2018,Chevrolet,Equinox 1LT,27451,27451
2018,Chrysler,300 S,20490,35275
2018,Hyundai,Tucson SEL,14999,38414
2018,Nissan,Murano Platinum,29360,26508
2019,Dodge,Durango GT Plus,29360,14163
2018,GMC,Terrain SLE,19780,20540
2018,GMC,Terrain SLE,20790,23238
2018,GMC,Terrain SLE,21530,3138
2018,Hyundai,Tucson SEL,14499,37103
2019,Chrysler,300 Limited,19977,21273
2018,Chevrolet,Trax LT,15670,22998
2018,GMC,Terrain SLE,30000,1267
2018,Hyundai,Elantra SEL,13990,36869
2017,Hyundai,Sonata SE,14000,14500
2017,Hyundai,Santa Fe Limited,22000,22500
2019,Buick,Encore Preferred,16480,17680
2019,Hyundai,Sonata SE,17588,15449
2019,Chevrolet,Equinox LS,20482,21350
2017,Honda,Accord Hybrid EX-L,22478,22988
2019,Dodge,Durango GT Plus,29980,14762
2017,Kia,Sorento SXL V6,27140,27980
2017,Cadillac,XT5 Luxury FWD,28390,20620
2019,Volkswagen,Atlas 3.6L V6 SE,29480,20337
2018,Chevrolet,Cruze Premier,15800,22215
2017,Chevrolet,Volt Premier,19988,20788
2018,Nissan,Maxima 3.5 S,20995,21495
2019,Dodge,Durango GT,29999,30700
2018,Nissan,Kicks SV,16500,19077
2018,Cadillac,XT5 Premium Luxury,27900,28400
2017,Buick,Encore Sport Touring,16988,24851
2018,Hyundai,Elantra SEL,13988,38084
2018,Chevrolet,Malibu LT,15010,31891
2019,Mazda,CX-5 Grand Touring,27370,15517
2019,GMC,Acadia SLT-1,27810,28380
2019,GMC,Terrain SLT,24960,765
2018,Chevrolet,Equinox 1LT,18980,20135
2019,GMC,Acadia SLT-1,28800,13080
2019,GMC,Acadia SLT-1,28920,13733
2018,Nissan,Murano SL,25340,33803
2018,Chevrolet,Equinox Premier,24290,12548
2019,Nissan,Kicks SV,17609,11126
2017,Hyundai,Elantra Limited,15190,13907
2017,Kia,Sportage EX,18888,35842
2019,Dodge,Durango GT Plus,28580,18375
2017,Audi,S3 2.0T Premium Plus,28987,39264
2019,Cadillac,CTS Luxury RWD,28960,14005
2017,Chevrolet,Malibu Premier,19980,18993
2018,Buick,LaCrosse Essence,20850,19829
2019,Dodge,Durango GT Plus,29980,14762
2017,Buick,Regal Premium II,17170,20862
2018,GMC,Terrain SLE,20790,23238
2018,GMC,Terrain Denali,29160,27973
2019,Ford,Flex Limited,23000,27000
2018,Nissan,Murano Platinum,29360,26508
2018,Nissan,Leaf SV,23988,14717
2018,Ford,Edge Titanium,26499,34928
2018,Chevrolet,Malibu LT,14490,30510
2018,Ford,EcoSport Titanium,16954,35028
2018,Hyundai,Tucson SEL,17890,34355
2018,Buick,Regal Sportback Preferred II,17977,24235
2019,Chevrolet,Impala 1LT,20977,24034
2017,GMC,Acadia SLT-2,29489,22703
2018,Honda,Pilot EX,28789,22024
2019,GMC,Acadia SLE-2,24989,9785
2019,Jeep,Compass Trailhawk,22999,8412
2017,Chevrolet,Malibu Premier,19580,25255
2019,GMC,Acadia SLT-1,27810,28380
2019,Cadillac,CTS Luxury RWD,26940,22250
2019,Chevrolet,Impala 1LT,19260,26352
2018,Chevrolet,Equinox Premier,22520,10149
2018,Chevrolet,Equinox 1LT,18980,20135
2019,GMC,Acadia SLT-1,28920,13733
2018,Subaru,Crosstrek 2.0i Limited,25991,11392
2019,GMC,Acadia SLT-1,28800,13080
2018,Nissan,Murano SL,25340,33803
2018,GMC,Terrain SLE,21530,3138
2017,Cadillac,ATS 2.0L Turbo,20680,14756
2019,Dodge,Durango GT Plus,28580,18375
2019,Kia,Sorento LX,23020,9331
2017,GMC,Acadia SLT-1,27370,31598
2017,GMC,Acadia SLE-2,26420,6131
2018,Hyundai,Santa Fe Limited Ultimate,29960,11039
2018,Subaru,Outback 2.5i Premium,23000,27888
2018,Nissan,Rogue SV,16411,31952
2019,GMC,Acadia SLT-1,29994,24951
2019,Dodge,Durango GT Plus,29980,14762
2017,Cadillac,XT5 Luxury FWD,27540,24179
2018,Chevrolet,Cruze Premier,16460,30160
2019,Dodge,Durango GT Plus,29360,14163
2017,Cadillac,XT5 Luxury FWD,29980,24209
2019,Subaru,Outback 2.5i,25300,7656
2019,Lincoln,MKZ Reserve I,26360,22734
2018,GMC,Acadia SLT-2,27940,21852
2018,Chevrolet,Equinox 1LT,19780,29786
2019,Lincoln,MKZ Reserve I,26360,27845
2018,Kia,Sportage SX Turbo,21030,31684
2017,Cadillac,XT5 Luxury FWD,27290,27850
2019,Cadillac,XTS Luxury,25340,30937
2017,Cadillac,XT5 Luxury FWD,28390,20620
2018,Dodge,Durango GT,26860,38728
2017,Chrysler,300C Base,18990,36273
2018,Chevrolet,Equinox Premier,23520,14314
2019,Dodge,Durango GT Plus,28580,18375
2019,GMC,Acadia SLT-1,26710,27250
2019,Chevrolet,Impala Premier 2LZ,21494,29898
2017,GMC,Acadia SLE-1,19999,35768
2019,Kia,Optima LX,18888,34158
2019,GMC,Acadia SLE-1,24990,2696
2019,Dodge,Durango SXT,27400,2970
2018,Honda,Accord Sport,21600,20622
2019,Subaru,Outback 2.5i,24000,6941
2018,Kia,Optima SX,24550,14853
2017,Hyundai,Sonata Limited,19180,28399
2019,Mazda,CX-5 Grand Touring,27370,15517
2018,Hyundai,Santa Fe Limited Ultimate,29960,11039
2019,GMC,Acadia SLT-1,26510,27050
2019,Mazda,Mazda3 AWD w/Preferred Package,23000,23500
2018,Dodge,Charger R/T,24990,30284
2019,Mazda,CX-5 Touring,27500,28000
2018,Hyundai,Tucson SEL Plus,19995,17738
2019,Ford,Escape SE,18500,22887
2019,Chevrolet,Impala 1LT,19488,25745
2018,Acura,TLX V6,24800,19394
2018,Buick,Regal Sportback Preferred,17702,11012
2019,Subaru,Crosstrek 2.0i Premium,23750,14852
2017,Chevrolet,Cruze LS,11999,37990
2019,Dodge,Durango GT Plus,28440,13249
2018,Nissan,Murano SV,21500,25325
2017,Jeep,Compass Latitude,15892,30677
2019,Dodge,Durango GT,29000,35998
2018,Dodge,Charger GT,21983,22991
2018,Hyundai,Tucson Value,22700,3392
2019,Chevrolet,Trax LS,14599,16463
2019,Hyundai,Tucson Night,26900,9564
2018,Hyundai,Elantra GT Base,13988,14988
2018,GMC,Terrain SLT,22998,32881
2017,GMC,Acadia SLE-2,26420,6131
2017,Chevrolet,Cruze Premier,14999,16648
2017,GMC,Acadia SLT-1,26420,19205
2018,Buick,Encore Preferred,19940,20450
2019,Dodge,Durango GT Plus,29360,14163
2019,GMC,Acadia SLT-1,27810,17431
2018,GMC,Acadia SLT-1,25190,39933
2017,Nissan,Maxima 3.5 SV,20980,37181
2018,Dodge,Durango GT,27400,34301
2018,GMC,Terrain Denali,29160,27973
2019,Cadillac,XTS Luxury,25850,33605
2017,Chevrolet,Cruze LT,12500,26814
2017,Kia,Sorento SXL V6,27140,27980
2018,Cadillac,XT5 Premium Luxury,27810,28380
2018,Chevrolet,Equinox 1LT,19780,29786
2018,Hyundai,Santa Fe Limited Ultimate,29960,11039
2018,GMC,Terrain SLE,19780,20540
2018,Chevrolet,Equinox Premier,22520,10149
2017,Cadillac,XT5 Luxury FWD,27190,27223
2019,GMC,Acadia SLT-1,28580,29160
2017,Cadillac,XT5 Luxury FWD,28490,29070
2018,Hyundai,Elantra SEL,14999,24914
2019,Chevrolet,Malibu Premier,24440,7042
2019,Dodge,Charger GT,25995,24009
2018,Chevrolet,Malibu LT,14090,36804
2018,Chevrolet,Cruze Premier,15800,22215
2019,Buick,LaCrosse Essence,22500,16117
2018,Chevrolet,Cruze LT,15190,13659
2017,Kia,Sorento SX V6,27960,17789
2018,Chevrolet,Equinox 1LT,22999,5121
2018,Hyundai,Elantra SEL,13955,35260
2018,Hyundai,Accent SEL,11998,5519
2019,Jeep,Cherokee Trailhawk,24750,37994
2019,Chevrolet,Cruze LS,15989,10575
2019,Dodge,Durango GT Plus,29360,14163
2017,Buick,LaCrosse Essence,23970,1292
2017,Chrysler,300 S,23000,18493
2017,Cadillac,XT5 Luxury FWD,27190,27223
2017,GMC,Acadia Denali,27650,34508
